time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-31T15:45:34.970Z,33.9173333,-117.035,15.09,2.79,ml,132,17,0.04543,0.16,ci,ci38411808,2019-01-04T00:23:36.720Z,"6km WSW of Beaumont, CA",earthquake,0.11,0.18,0.167,24,reviewed,ci,ci
2018-12-31T09:14:55.440Z,35.6686667,-121.1065,5.61,2.74,md,63,116,0.06878,0.06,nc,nc73128711,2019-03-22T19:44:04.530Z,"8km ENE of San Simeon, CA",earthquake,0.12,0.32,0.151,55,reviewed,nc,nc
2018-12-30T16:18:22.160Z,33.0323333,-116.4341667,8.93,2.82,ml,111,17,0.04497,0.2,ci,ci38410936,2019-01-03T21:16:53.640Z,"16km ESE of Julian, CA",earthquake,0.11,0.34,0.184,25,reviewed,ci,ci
2018-12-30T06:15:04.960Z,37.0186667,-121.8483333,15.83,2.63,md,82,89,0.02243,0.18,nc,nc73128201,2019-03-22T23:24:55.940Z,"2km SSE of Day Valley, CA",earthquake,0.23,0.38,0.195,119,reviewed,nc,nc
2018-12-30T01:29:37.170Z,37.5201667,-118.4011667,10.89,3.09,md,35,84,0.04358,0.06,nc,nc73128161,2019-03-05T17:46:39.040Z,"15km N of Dixon Lane-Meadow Creek, CA",earthquake,0.31,0.8,0.142,45,reviewed,nc,nc
2018-12-28T21:27:56.881Z,38.3841,-118.9127,8.5,2.6,ml,25,56.72,0.137,0.2175,nn,nn00672271,2019-03-15T00:51:44.750Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.6,0.42,11,reviewed,nn,nn
2018-12-27T19:51:06.800Z,37.4725,-118.8393333,2.99,2.52,md,37,86,0.1176,0.07,nc,nc73127266,2019-01-04T20:55:02.270Z,"17km SW of Toms Place, CA",earthquake,0.24,1.06,0.28,34,reviewed,nc,nc
2018-12-27T19:49:59.440Z,37.4721667,-118.8413333,4.63,2.76,md,37,86,0.1181,0.05,nc,nc73127261,2019-01-04T20:40:03.072Z,"17km SW of Toms Place, CA",earthquake,0.23,1.35,0.204,34,reviewed,nc,nc
2018-12-27T01:14:59.950Z,34.4076667,-116.892,1.56,3.41,ml,129,29,0.07698,0.14,ci,ci38407640,2019-03-05T17:46:35.040Z,"8km ESE of Lucerne Valley, CA",earthquake,0.08,0.22,0.131,318,reviewed,ci,ci
2018-12-26T02:13:32.820Z,36.573,-121.1683333,2.91,2.56,md,64,40,0.009445,0.07,nc,nc73126371,2019-03-15T01:55:56.040Z,"5km NNW of Pinnacles, CA",earthquake,0.11,0.12,0.199,70,reviewed,nc,nc
2018-12-23T18:04:34.570Z,34.851,-120.3963333,1.42,3.23,ml,41,91,0.08524,0.2,ci,ci38404744,2019-02-23T20:22:42.040Z,"4km ESE of Orcutt, CA",earthquake,0.23,0.36,0.124,234,reviewed,ci,ci
2018-12-23T15:44:23.590Z,33.391,-116.9246667,13.21,2.54,ml,107,24,0.0639,0.23,ci,ci38404648,2019-01-08T02:23:00.780Z,"7km NW of Palomar Observatory, CA",earthquake,0.14,0.43,0.158,202,reviewed,ci,ci
2018-12-23T09:02:07.400Z,36.5698333,-121.163,3.45,3.13,ml,62,53,0.01386,0.07,nc,nc73125516,2019-03-09T02:29:04.980Z,"5km NNW of Pinnacles, CA",earthquake,0.11,0.16,0.18,46,reviewed,nc,nc
2018-12-22T05:03:12.350Z,40.0466667,-120.8031667,1.77,2.91,ml,38,66,0.06287,0.14,nc,nc73125221,2019-02-23T20:20:52.040Z,"4km SE of Taylorsville, CA",earthquake,0.24,0.82,0.212,7,reviewed,nc,nc
2018-12-22T00:15:45.970Z,37.469,-118.8175,5.53,2.78,md,43,77,0.1128,0.06,nc,nc73125131,2018-12-23T02:04:42.169Z,"16km SW of Toms Place, CA",earthquake,0.22,1.12,0.206,50,reviewed,nc,nc
2018-12-21T17:18:25.510Z,38.8193333,-122.7975,3.42,3.22,ml,68,22,0.01985,0.08,nc,nc73125011,2019-02-23T20:22:11.040Z,"6km NW of The Geysers, CA",earthquake,0.12,0.17,0.173,47,reviewed,nc,nc
2018-12-20T22:02:03.440Z,33.4801667,-116.798,4.26,2.77,ml,116,13,0.03218,0.22,ci,ci38401296,2018-12-23T05:02:08.445Z,"8km NE of Aguanga, CA",earthquake,0.12,0.35,0.126,26,reviewed,ci,ci
2018-12-20T20:18:22.940Z,33.4813333,-116.799,4.07,3.52,ml,129,13,0.03098,0.23,ci,ci38401064,2019-02-23T20:21:46.040Z,"8km NE of Aguanga, CA",earthquake,0.1,0.35,0.2,296,reviewed,ci,ci
2018-12-20T13:56:05.180Z,33.4951667,-116.8048333,2.84,2.52,ml,112,19,0.01756,0.21,ci,ci38400736,2018-12-20T20:36:06.689Z,"8km NE of Aguanga, CA",earthquake,0.11,0.35,0.15,136,reviewed,ci,ci
2018-12-20T13:30:45.530Z,39.1135,-119.7306,7.9,3.2,ml,35,35.01,0.045,0.252,nn,nn00670948,2019-02-23T20:21:42.040Z,"5km ENE of Indian Hills, Nevada",earthquake,,1,0.36,10,reviewed,nn,nn
2018-12-20T13:24:02.129Z,39.1129,-119.729,8.1,3.6,ml,36,39.37,0.046,0.2444,nn,nn00670931,2019-02-23T20:21:42.040Z,"5km ENE of Indian Hills, Nevada",earthquake,,1.1,0.26,10,reviewed,nn,nn
2018-12-20T11:21:44.830Z,33.4215,-116.6965,11.86,2.64,ml,116,18,0.05773,0.19,ci,ci38400632,2018-12-21T02:31:18.582Z,"15km S of Anza, CA",earthquake,0.11,0.29,0.139,148,reviewed,ci,ci
